fusion_type,dataset,model,parameters,Pascal mAP@0.5IOU,Pascal AP@0.5IOU/people,Pascal AP@0.5IOU/car,Pascal AP@0.5IOU/motorcycle,Pascal AP@0.5IOU/bus,Pascal AP@0.5IOU/truck,Pascal AP@0.5IOU/lamp,COCO AP@[0.50:0.95],COCO AP@0.50,COCO AP@0.75,COCO AP_small,COCO AP_medium,COCO AP_large,COCO AR@1,COCO AR@10,COCO AR@100,COCO AR_small,COCO AR_medium,COCO AR_large,COCO mAP
agnostic,m3fd_overcast,FastKAN_32_2,13084,0.84100296887607,0.871533214994487,0.9236146191849024,0.5645502645502645,0.9487179487179488,0.9081196581196581,0.8294821076891588,0.560,0.838,0.597,0.214,0.688,0.858,0.404,0.606,0.616,0.321,0.741,0.873,0.5599261812104502
agnostic,m3fd_overcast,FastKAN_64_3,8978,0.8416337340454042,0.8744157282471035,0.9239524374836583,0.6021555415292019,0.9533730158730158,0.8888888888888888,0.807016792250557,0.557,0.839,0.583,0.213,0.682,0.859,0.399,0.598,0.609,0.300,0.734,0.874,0.5566279485710086
agnostic,m3fd_overcast,FastKAN_64_2,6928,0.8349885590084044,0.8752812260155971,0.9205216502014826,0.5638017341214325,0.939484126984127,0.9033816425120772,0.8074609742157094,0.551,0.832,0.584,0.208,0.675,0.862,0.395,0.600,0.612,0.320,0.734,0.879,0.5512778934642523
agnostic,m3fd_overcast,EfficientKAN_32_3,32768,0.8459814954265547,0.8723809598638517,0.9208592561101956,0.6107548666495156,0.9487179487179488,0.9084967320261438,0.8146792091916729,0.558,0.843,0.578,0.212,0.683,0.865,0.399,0.613,0.624,0.346,0.747,0.891,0.558098565294215
agnostic,m3fd_overcast,EfficientKAN_32_2,28672,0.8425647492062677,0.86850454746659,0.9298655207047102,0.6013983407791029,0.939484126984127,0.8888888888888888,0.827247070414187,0.555,0.840,0.573,0.209,0.688,0.864,0.395,0.598,0.608,0.301,0.741,0.876,0.5545517263612431
agnostic,m3fd_overcast,EfficientKAN_64_3,16384,0.8379206898384973,0.8659081199345549,0.9217022442085647,0.5870683496070493,0.9464285714285714,0.8993055555555555,0.8071112982966873,0.544,0.835,0.558,0.205,0.681,0.805,0.389,0.594,0.606,0.325,0.731,0.820,0.5439718826555072
agnostic,m3fd_overcast,EfficientKAN_64_2,14336,0.8425980256206564,0.87243817631932,0.9174113335813092,0.6133089133089134,0.939484126984127,0.8951781970649895,0.8177674064652805,0.551,0.840,0.591,0.207,0.683,0.868,0.394,0.603,0.614,0.377,0.733,0.886,0.5509505286493186
agnostic,m3fd_overcast,EfficientKAN_dual_32_3,16384,0.8330639546168052,0.865866398665621,0.9242400621855165,0.5499644252295366,0.939484126984127,0.9006535947712417,0.8181751198647876,0.550,0.830,0.579,0.204,0.682,0.881,0.396,0.605,0.617,0.339,0.742,0.897,0.5500463182001125
agnostic,m3fd_overcast,EfficientKAN_dual_32_2,14336,0.8360783658061629,0.8573835072030102,0.9239968784919834,0.584241239529701,0.9416666666666667,0.9067460317460317,0.8024358711995841,0.555,0.833,0.571,0.204,0.683,0.879,0.400,0.604,0.616,0.369,0.732,0.892,0.5546659929822019
agnostic,m3fd_overcast,EfficientKAN_dual_64_3,8192,0.8404247412880191,0.8662281206518077,0.920010331318422,0.589370601267035,0.9464285714285714,0.8888888888888888,0.8316219341733905,0.557,0.837,0.579,0.211,0.699,0.851,0.397,0.599,0.610,0.302,0.750,0.863,0.5574879588755759
agnostic,m3fd_overcast,EfficientKAN_dual_64_2,7168,0.8372993984533803,0.8643270804691661,0.9248764784438929,0.5813930486387062,0.9487179487179488,0.8888888888888888,0.8155929455616794,0.548,0.834,0.578,0.205,0.674,0.857,0.390,0.594,0.612,0.303,0.737,0.874,0.5478558061766314
agnostic,m3fd_overcast,WavKAN_32,16912,0.8391661789978336,0.8715817163195526,0.9161310128298399,0.586341805994714,0.939484126984127,0.8888888888888888,0.83256952296988,0.554,0.836,0.557,0.207,0.691,0.872,0.389,0.598,0.612,0.301,0.745,0.890,0.5535389141862525
agnostic,m3fd_overcast,WavKAN_64,8712,0.8371787991429932,0.8646149070736338,0.919867290324879,0.5842054636125689,0.9464285714285714,0.8914205344585091,0.8165360279597963,0.555,0.834,0.583,0.203,0.682,0.884,0.397,0.603,0.627,0.420,0.743,0.897,0.5546793446513725
adaptive,m3fd_overcast,mlp,8464,0.8514010620081568,0.8641602825979946,0.9188171011370747,0.6717751479289942,0.939484126984127,0.8888888888888888,0.8252808245118617,0.562,0.849,0.583,0.210,0.691,0.890,0.402,0.604,0.625,0.313,0.747,0.903,0.5620545846929905
